Symbol,Name,Market Cap,Sector,Industry,Beta,Price,Dividend,Volume,Exchange,Exchange Code,Country,isFund
ZS,"Zscaler, Inc.",28658970600.0,Technology,Software - Infrastructure,0.8140000000000001,187.94,0.0,557278,NASDAQ Global Select,NASDAQ,US,False
ON,ON Semiconductor Corporation,28594904780.0,Technology,Semiconductors,1.65,66.755,0.0,3448879,NASDAQ Global Select,NASDAQ,US,False
ANSS,"ANSYS, Inc.",28569301138.0,Technology,Software - Application,1.113,326.93,0.0,108277,NASDAQ Global Select,NASDAQ,US,False
VWRL.AS,Vanguard FTSE All-World UCITS ETF,28513610936.0,Financial Services,Asset Management,,128.4,1.89947,41589,Amsterdam,EURONEXT,IE,False
KER.PA,Kering SA,28495383715.0,Consumer Cyclical,Luxury Goods,1.017,232.45,14.0,241247,Paris,EURONEXT,FR,False
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",28495009281.0,Utilities,Regulated Electric,0.26186863,23.0111,0.60599,8539,New York Stock Exchange,NYSE,US,False
POW.TO,Power Corporation of Canada,28489022571.0,Financial Services,Insurance - Life,1.093,44.26,2.25,318837,Toronto Stock Exchange,TSX,CA,False
VEU,Vanguard FTSE All-World ex-US Index Fund,28443333068.0,Financial Services,Asset Management,1.03,61.4781,1.7642,623243,New York Stock Exchange Arca,AMEX,US,True
RJF,"Raymond James Financial, Inc.",28343935090.0,Financial Services,Financial - Capital Markets,1.03,137.63,1.8,455353,New York Stock Exchange,NYSE,US,False
SMCI,"Super Micro Computer, Inc.",28262294725.0,Technology,Computer Hardware,1.231,48.265,0.0,28429601,NASDAQ Global Select,NASDAQ,US,False
EQR,Equity Residential,28238049280.0,Real Estate,REIT - Residential,0.909,74.48,2.7,422286,New York Stock Exchange,NYSE,US,False
FSPGX,Fidelity Large Cap Growth Index Fund,28187205607.0,Financial Services,Asset Management,1.1400000000000001,37.45,0.164,0,NASDAQ,NASDAQ,US,True
PEMGX,Principal MidCap A,28000987116.0,,,1.12,45.06,0.0,0,Nasdaq,NASDAQ,,True
PTRQX,PGIM Total Return Bond Fund -Class R6,28000956412.0,Financial Services,Asset Management - Bonds,1.03,12.12,0.537308999999999,0,NASDAQ,NASDAQ,US,True
VLTO,Veralto Corporation,27962560224.0,Industrials,Industrial - Pollution & Treatment Controls,1.55,113.16,0.36,406108,New York Stock Exchange,NYSE,US,False
PDBZX,PGIM Total Return Bond Fund Class Z,27954751484.0,Financial Services,Asset Management - Bonds,1.02,12.1,0.48099999999999904,0,NASDAQ,NASDAQ,,True
K,Kellanova,27938442675.0,Consumer Defensive,Packaged Foods,0.394,81.055,2.2800000000000002,1515466,New York Stock Exchange,NYSE,US,False
ERIC,Telefonaktiebolaget LM Ericsson (publ),27912146461.0,Technology,Communication Equipment,0.394,8.4684,0.26,16774091,NASDAQ Global Select,NASDAQ,SE,False
AD.AS,Koninklijke Ahold Delhaize N.V.,27841678129.0,Consumer Defensive,Grocery Stores,0.232,30.56,1.11,1375295,Amsterdam,EURONEXT,NL,False
NETE,"Net Element, Inc.",27819785360.0,Technology,Software - Infrastructure,1.9854539999999998,13.09,0.0,4070566,NASDAQ Capital Market,NASDAQ,US,False
LR.PA,Legrand SA,27746367246.0,Industrials,Electrical Equipment & Parts,0.897,105.85,2.09,413803,Paris,EURONEXT,FR,False
